Quartier 1 ; Capitole ; 43.602374, 1.441593
Quartier 2 ; Saint-Etienne ; 43.596903, 1.448801
Quartier 3 ; Saint-Cyprien ; 43.597738, 1.435150
Quartier 4 ; Minimes ; 43.619868, 1.433661
Quartier 5 ; Matabiau ; 43.610050, 1.449912
Quartier 6 ; Bonnefoy ; 43.619700, 1.455617
Quartier 7 ; Roseraie ; 43.626131, 1.469313
Quartier 8 ; Côte pavée ; 43.593949, 1.469960
Quartier 9 ; Montaudran ; 43.570059, 1.494183
Quartier 10 ; Saint-Agne ; 43.581951, 1.449018
Quartier 11 ; Croix de Pierre ; 43.579400, 1.423856
Quartier 12 ; Saint-Simon ; 43.557700, 1.380513
Quartier 13 ; Ginestous ; 43.646058, 1.411502
Quartier 14 ; Croix-Daurade ; 43.640628, 1.458539
Quartier 15 ; Borderouges ; 43.641988, 1.457152
Quartier 16 ; Bagatelle ; 43.582633, 1.410490
Quartier 17 ; Mirail-Université ; 43.577931, 1.401934